turne,ano,cidade_fonte,data_show_fonte,musica,fonte_url
Back in the World Tour,2003,Paris (Bercy),2003-03-25,You Never Give Me Your Money,https://www.setlist.fm/setlist/paul-mccartney/2003/palais-omnisports-de-paris-bercy-paris-france-3d0111b.html
Back in the World Tour,2003,Paris (Bercy),2003-03-25,The Fool on the Hill,https://www.setlist.fm/setlist/paul-mccartney/2003/palais-omnisports-de-paris-bercy-paris-france-3d0111b.html
Back in the World Tour,2003,Paris (Bercy),2003-03-25,Here Today,https://www.setlist.fm/setlist/paul-mccartney/2003/palais-omnisports-de-paris-bercy-paris-france-3d0111b.html
Back in the World Tour,2003,Paris (Bercy),2003-03-25,Something,https://www.setlist.fm/setlist/paul-mccartney/2003/palais-omnisports-de-paris-bercy-paris-france-3d0111b.html
Back in the World Tour,2003,Paris (Bercy),2003-03-25,Eleanor Rigby,https://www.setlist.fm/setlist/paul-mccartney/2003/palais-omnisports-de-paris-bercy-paris-france-3d0111b.html
Back in the World Tour,2003,Paris (Bercy),2003-03-25,"Here, There and Everywhere",https://www.setlist.fm/setlist/paul-mccartney/2003/palais-omnisports-de-paris-bercy-paris-france-3d0111b.html
Back in the World Tour,2003,Paris (Bercy),2003-03-25,Calico Skies,https://www.setlist.fm/setlist/paul-mccartney/2003/palais-omnisports-de-paris-bercy-paris-france-3d0111b.html
Back in the World Tour,2003,Paris (Bercy),2003-03-25,Michelle,https://www.setlist.fm/setlist/paul-mccartney/2003/palais-omnisports-de-paris-bercy-paris-france-3d0111b.html
Back in the World Tour,2003,Paris (Bercy),2003-03-25,Band on the Run,https://www.setlist.fm/setlist/paul-mccartney/2003/palais-omnisports-de-paris-bercy-paris-france-3d0111b.html
Back in the World Tour,2003,Paris (Bercy),2003-03-25,Back in the U.S.S.R.,https://www.setlist.fm/setlist/paul-mccartney/2003/palais-omnisports-de-paris-bercy-paris-france-3d0111b.html
Back in the World Tour,2003,Paris (Bercy),2003-03-25,Maybe I'm Amazed,https://www.setlist.fm/setlist/paul-mccartney/2003/palais-omnisports-de-paris-bercy-paris-france-3d0111b.html
Back in the World Tour,2003,Paris (Bercy),2003-03-25,Let 'Em In,https://www.setlist.fm/setlist/paul-mccartney/2003/palais-omnisports-de-paris-bercy-paris-france-3d0111b.html
Back in the World Tour,2003,Paris (Bercy),2003-03-25,My Love,https://www.setlist.fm/setlist/paul-mccartney/2003/palais-omnisports-de-paris-bercy-paris-france-3d0111b.html
Back in the World Tour,2003,Paris (Bercy),2003-03-25,She's Leaving Home,https://www.setlist.fm/setlist/paul-mccartney/2003/palais-omnisports-de-paris-bercy-paris-france-3d0111b.html
